scenario,beacons,range_sigma,bearing_sigma,target_rmse,beacon_position_rmse,beacon_yaw_rmse,mean_cost,mean_iterations,mean_runtime_ms,success_rate
1,1,0.01000000,0.01200000,0.00677914,0.00196693,0.00124425,156.98360222,4.73000000,1.32236000,1.00000000
1,2,0.01000000,0.01200000,0.00285522,0.00213023,0.00106955,315.98088162,5.09000000,3.83175000,1.00000000
2,1,0.01000000,0.01200000,0.00750856,0.00559647,,10.27677841,8.83000000,0.35688000,1.00000000
2,2,0.01000000,0.01200000,0.00547495,0.00493667,,19.67369911,6.14000000,0.61995000,1.00000000
3,1,0.01000000,0.01200000,2.03017214,1.75618424,0.74233553,484768.05859330,80.00000000,3.78378000,0.00000000
3,2,0.01000000,0.01200000,0.01817505,1.44721705,0.44062839,628352.13501237,160.00000000,15.58806000,0.00000000
1,1,0.01000000,0.01800000,0.00877734,0.00228388,0.00163465,156.20995930,5.39000000,1.07945000,1.00000000
1,2,0.01000000,0.01800000,0.00289858,0.00219368,0.00132069,312.95786303,7.75000000,5.25829000,1.00000000
2,1,0.01000000,0.01800000,0.00989761,0.00716436,,20.31134475,7.68000000,0.35768000,1.00000000
2,2,0.01000000,0.01800000,0.00753852,0.00665671,,37.14742044,9.86000000,0.57401000,1.00000000
3,1,0.01000000,0.01800000,3.37256032,2.16264176,1.06933203,638927.39768514,80.00000000,3.61855000,0.00000000
3,2,0.01000000,0.01800000,0.03821796,2.38070025,0.74599898,1252022.46802086,160.00000000,14.90379000,0.00000000
1,1,0.03000000,0.00000000,0.00326327,0.00109573,0.00017988,78.17517014,5.01000000,1.50348000,1.00000000
1,2,0.03000000,0.00000000,0.00235488,0.00120402,0.00030631,160.04502553,8.24000000,4.98239000,1.00000000
2,1,0.03000000,0.00000000,0.01054545,0.00883790,,24.11726097,9.35000000,0.27709000,1.00000000
2,2,0.03000000,0.00000000,0.00742511,0.00683051,,47.75085429,7.79000000,0.61416000,1.00000000
3,1,0.03000000,0.00000000,0.07268247,0.14031653,0.04382801,4433.34336813,80.00000000,3.83789000,0.00000000
3,2,0.03000000,0.00000000,0.04040071,0.12261410,0.02786341,7320.14596634,160.00000000,16.06418000,0.00000000
1,1,0.03000000,0.00200000,0.00358412,0.00096164,0.00024716,158.14499815,9.27000000,2.05002000,1.00000000
1,2,0.03000000,0.00200000,0.00175649,0.00098751,0.00033230,317.96207829,8.55000000,5.98218000,1.00000000
2,1,0.03000000,0.00200000,0.01090083,0.00932089,,24.42735837,10.53000000,0.70585000,1.00000000
2,2,0.03000000,0.00200000,0.00728339,0.00646544,,48.39168204,8.19000000,0.85084000,1.00000000
3,1,0.03000000,0.00200000,0.01837597,0.05318052,0.01041754,6908.74823444,80.00000000,3.37506000,0.20000000
3,2,0.03000000,0.00200000,0.04636812,0.14721549,0.01659056,83436.30452623,160.00000000,13.96329000,0.00000000
1,1,0.03000000,0.00600000,0.00488059,0.00233173,0.00089363,156.87093899,6.17000000,1.76126000,1.00000000
1,2,0.03000000,0.00600000,0.00371599,0.00249772,0.00091900,316.81180708,5.75000000,4.08316000,1.00000000
2,1,0.03000000,0.00600000,0.01053461,0.00808723,,26.55938292,10.17000000,0.35132000,1.00000000
2,2,0.03000000,0.00600000,0.00765404,0.00674833,,50.94604819,9.47000000,0.87206000,1.00000000
3,1,0.03000000,0.00600000,0.07308685,0.14238472,0.04454506,4652.49628107,80.00000000,2.96817000,0.00000000
3,2,0.03000000,0.00600000,0.03904851,0.12208669,0.02741212,7436.34410303,160.00000000,15.24545000,0.00000000
1,1,0.03000000,0.01200000,0.00855584,0.00394578,0.00170201,155.36128867,6.56000000,1.72563000,1.00000000
