trajectory,beacons,observability_rank,smallest_singular_value,target_rmse,beacon_position_rmse,beacon_yaw_rmse,mean_cost,mean_iterations,mean_runtime_ms,success_rate
stationary,1,4,0.00000000,6.06847428,4.52780669,1.59015980,155.94794392,11.58000000,2.69730000,0.00000000
short_line,1,5,18.94072355,0.02523287,0.03207855,0.01016550,156.68332622,5.92000000,1.63332000,0.82000000
repeated_viewpoints,1,5,17.01133265,0.04807070,0.03403639,0.01233266,158.93441930,7.04000000,1.55916000,0.70000000
low_curvature_arc,1,5,102.06870604,0.00771709,0.00749186,0.00203710,156.62109612,9.48000000,1.73252000,1.00000000
collinear_pass,1,5,295.03276398,0.00458853,0.00035251,0.00055000,158.89287246,5.68000000,1.11550000,1.00000000
line,1,5,165.76312254,0.00587806,0.00474286,0.00128998,158.50889284,15.70000000,2.34268000,1.00000000
excited_figure_eight,1,5,208.69131157,0.00593625,0.00360790,0.00115868,156.36018305,4.82000000,1.41716000,1.00000000
