scenario,beacons,trial,target_x,target_y,estimate_x,estimate_y,error,beacon_position_rmse,beacon_yaw_rmse,cost,iterations,runtime_ms,solver_converged,success
1,1,40,1.20000000,-0.75000000,1.19894019,-0.74805284,0.00221690,0.00228330,0.00058836,145.32691046,4,0.89800000,1,1
1,1,41,1.20000000,-0.75000000,1.20713881,-0.74774646,0.00748605,0.00254630,0.00057554,155.21461534,8,1.30200000,1,1
1,1,42,1.20000000,-0.75000000,1.20464371,-0.74688442,0.00559204,0.00295879,0.00086558,171.12887423,4,1.71800000,1,1
1,1,43,1.20000000,-0.75000000,1.20035610,-0.75508725,0.00509970,0.00362637,0.00249258,150.96322850,4,0.89700000,1,1
1,1,44,1.20000000,-0.75000000,1.19567184,-0.76223927,0.01298201,0.00333555,0.00226525,160.39936158,4,0.89800000,1,1
1,1,45,1.20000000,-0.75000000,1.19776819,-0.75042391,0.00227171,0.00299151,0.00023894,154.88241442,7,1.19300000,1,1
1,1,46,1.20000000,-0.75000000,1.19828839,-0.75131407,0.00215787,0.00099003,0.00041395,134.52796375,4,0.90400000,1,1
1,1,47,1.20000000,-0.75000000,1.19449084,-0.75011311,0.00551032,0.00229114,0.00010262,173.46354221,4,0.96300000,1,1
1,1,48,1.20000000,-0.75000000,1.19685411,-0.74582556,0.00522710,0.00257009,0.00041537,140.67205392,4,0.90700000,1,1
1,1,49,1.20000000,-0.75000000,1.20218699,-0.75360864,0.00421962,0.00224047,0.00058554,168.99979120,4,0.91600000,1,1
1,1,50,1.20000000,-0.75000000,1.19553800,-0.74936489,0.00450697,0.00313499,0.00096172,142.83051823,8,1.28700000,1,1
1,1,51,1.20000000,-0.75000000,1.19283182,-0.74606894,0.00817533,0.00454686,0.00111867,153.59448688,80,9.41500000,0,1
1,1,52,1.20000000,-0.75000000,1.19604021,-0.75326681,0.00513342,0.00080800,0.00065329,159.65479532,4,1.69200000,1,1
1,1,53,1.20000000,-0.75000000,1.20163749,-0.75250089,0.00298928,0.00142042,0.00082999,131.11925865,4,0.96100000,1,1
1,1,54,1.20000000,-0.75000000,1.19793801,-0.75263213,0.00334364,0.00528390,0.00025900,179.34135207,4,0.95500000,1,1
1,1,55,1.20000000,-0.75000000,1.19001937,-0.75569855,0.01149289,0.00690610,0.00077095,136.67710887,4,1.01200000,1,1
1,1,56,1.20000000,-0.75000000,1.20302735,-0.75144919,0.00335634,0.00173066,0.00096802,145.65965039,4,1.16300000,1,1
1,1,57,1.20000000,-0.75000000,1.19823405,-0.75104136,0.00205012,0.00106272,0.00061918,189.86467123,4,1.59300000,1,1
1,1,58,1.20000000,-0.75000000,1.20399917,-0.74627433,0.00546572,0.00079555,0.00033678,154.66566230,4,0.93300000,1,1
1,1,59,1.20000000,-0.75000000,1.20822544,-0.75591261,0.01013000,0.00116590,0.00146627,169.56114115,4,0.91800000,1,1
1,1,60,1.20000000,-0.75000000,1.19853185,-0.74496927,0.00524058,0.00101136,0.00125165,169.16272143,4,0.91500000,1,1
1,1,61,1.20000000,-0.75000000,1.19500806,-0.75060678,0.00502868,0.00423887,0.00128717,179.73573317,4,0.95800000,1,1
1,1,62,1.20000000,-0.75000000,1.19705549,-0.74692212,0.00425951,0.00263606,0.00162765,171.37431943,4,0.92800000,1,1
1,1,63,1.20000000,-0.75000000,1.19944459,-0.74604880,0.00399004,0.00050048,0.00000850,175.43227021,7,1.25100000,1,1
1,1,64,1.20000000,-0.75000000,1.20054175,-0.75259952,0.00265537,0.00186460,0.00078353,155.88055234,4,1.09000000,1,1
1,1,65,1.20000000,-0.75000000,1.20353520,-0.75201611,0.00406968,0.00226813,0.00041299,151.01200717,4,1.07600000,1,1
1,1,66,1.20000000,-0.75000000,1.19880062,-0.75240149,0.00268434,0.00115126,0.00105588,152.36852146,4,1.01600000,1,1
1,1,67,1.20000000,-0.75000000,1.20551271,-0.74611332,0.00674510,0.00261821,0.00070427,168.25964243,4,1.02600000,1,1
1,1,68,1.20000000,-0.75000000,1.20147611,-0.74638972,0.00390039,0.00105671,0.00092097,158.20126971,4,0.95600000,1,1
1,1,69,1.20000000,-0.75000000,1.19931238,-0.74908703,0.00114295,0.00087027,0.00042818,163.99779547,9,1.74800000,1,1
